,operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,numNodes,tasksPerNode,parallelism,totalTime_beegfs,totalTime_localssd,totalTime_nfs,totalTime_tmpfs,trMiB_beegfs,trMiB_localssd,trMiB_nfs,trMiB_tmpfs,trMiB_ave_beegfs,trMiB_ave_localssd,trMiB_ave_nfs,trMiB_ave_tmpfs,selectStorage
349,0.0,0.0,1048576.0,1024.0,64.0,4.0,16.0,64.0,0.18223333333333333,0.19873333333333335,2.2963333333333336,0.012133333333333335,7260.206133333333,5181.449933333333,445.92920000000004,84417.5113,11074.943311111108,5168.041311111112,537.0434666666666,78848.48211666667,nfs
350,0.0,0.0,1048576.0,1024.0,64.0,8.0,8.0,64.0,0.0766,0.2779,1.2046333333333334,0.009933333333333334,17380.595066666665,3685.1296,850.0717333333333,106050.19856666667,11074.943311111108,5168.041311111112,537.0434666666666,78848.48211666667,ave_nfs
351,0.0,0.0,1048576.0,1024.0,64.0,16.0,4.0,64.0,0.044233333333333326,0.1432,,0.023000000000000003,23289.0624,7150.361333333333,,44576.2689,11074.943311111108,5168.041311111112,,78848.48211666667,ave_localssd
352,0.0,0.0,1048576.0,1024.0,64.0,32.0,2.0,64.0,0.1386,0.09566666666666666,1.0194666666666665,0.006733333333333333,12753.785433333333,10743.160600000001,1056.2642666666668,152148.86256666665,11074.943311111108,5168.041311111112,537.0434666666666,78848.48211666667,ave_nfs
353,0.0,0.0,1048576.0,1024.0,128.0,1.0,128.0,128.0,0.5090333333333333,0.7634666666666666,10.5122,0.0256,2019.5989,1345.6562666666666,97.4473,43018.16643333333,7099.170233333333,4637.289488888889,491.5088133333332,88977.2400888889,nfs
354,0.0,0.0,1048576.0,1024.0,128.0,2.0,64.0,128.0,1.7912666666666668,1.0669333333333333,4.561166666666667,0.03813333333333333,571.7556666666666,959.8679333333333,224.5059666666667,28936.0912,7099.170233333333,4637.289488888889,491.5088133333332,88977.2400888889,nfs
355,0.0,0.0,1048576.0,1024.0,128.0,4.0,32.0,128.0,0.40490000000000004,0.21366666666666667,2.2975666666666665,0.010700000000000001,2534.9375,4844.798633333333,445.69373333333334,97502.5663,7099.170233333333,4637.289488888889,491.5088133333332,88977.2400888889,nfs
356,0.0,0.0,1048576.0,1024.0,128.0,8.0,16.0,128.0,0.23273333333333335,0.30319999999999997,1.1932333333333334,0.008366666666666666,9185.211333333335,3413.8086000000003,858.1597333333333,122415.27656666667,7099.170233333333,4637.289488888889,491.5088133333332,88977.2400888889,ave_nfs
357,0.0,0.0,1048576.0,1024.0,128.0,16.0,8.0,128.0,0.05036666666666667,0.14316666666666666,,0.031400000000000004,20359.35423333333,7152.3243,,35125.937933333335,7099.170233333333,4637.289488888889,,88977.2400888889,ave_localssd
358,0.0,0.0,1048576.0,1024.0,128.0,32.0,4.0,128.0,0.4072,0.10146666666666666,1.2429,0.004966666666666667,7924.163766666666,10107.2812,831.7373333333334,206865.40209999998,7099.170233333333,4637.289488888889,491.5088133333332,88977.2400888889,ave_nfs
