operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_ssd_12p,estimated_ts_slope_ssd_12p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p,estimated_trMiB_beegfs_12p,estimated_ts_slope_beegfs_12p
1,1,6632.008785332315,33.11652946472168,48,48,0.260369992,[4],,,127.19026954811936,1,5236,run_idfeature,166670-dc004,pr_rlut_mean_sam_2016080201.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
1,1,6632.008785332315,33.11652946472168,48,48,0.188413241,[4],,,175.7654042197686,1,5236,run_idfeature,166675-dc004,pr_rlut_mean_sam_2016080208.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5474.222899599924,27.403064727783203,48,48,0.113964825,[4],,,240.45195285284913,1,5249,run_idfeature,166675-dc004,cloudid_20160802_081500.nc,1,,,,1875.0245052721841,0.00131953,2767.7863788041113,0.00131953,3770.460938008601,0.00131953,7783.492415658462,0.00131953
0,1,4189.704229377025,41.94594860076904,48,48,0.235732503,[4],,,177.93875713765718,1,10498,run_idfeature,185764-dc001,cloudid_20160802_071500.nc,1,,,,1874.3460830324884,8.971376127549078e-05,2767.1281926112683,8.971376127549078e-05,3770.182252575045,8.971376127549078e-05,7783.989128,8.971376127549078e-05
1,1,6878.6449950445985,66.19026947021484,48,48,0.399654814,[4],,,165.61859672786235,1,10090,run_idfeature,185764-dc001,pr_rlut_mean_sam_2016080100.nc,1,initial_data,,,24375.381366536538,0.002664144,55579.56533738299,0.002664144,3773.1533322314035,0.002664144,7789.568997574109,0.002664144
0,1,4189.704229377025,41.94594860076904,48,48,0.235732503,[4],,,177.93875713765718,1,10498,run_idfeature,185764-dc001,cloudid_20160801_003000.nc,1,,,,1874.3460830324884,8.971376127549078e-05,2767.1281926112683,8.971376127549078e-05,3770.182252575045,8.971376127549078e-05,7783.989128,8.971376127549078e-05
1,1,6878.6449950445985,66.19026947021484,48,48,0.399654814,[4],,,165.61859672786235,1,10090,run_idfeature,185764-dc001,pr_rlut_mean_sam_2016080207.nc,1,initial_data,,,24375.381366536538,0.002664144,55579.56533738299,0.002664144,3773.1533322314035,0.002664144,7789.568997574109,0.002664144
0,1,5243.657649076014,26.248892784118652,48,48,0.111924092,[4],,,234.52406282749786,1,5249,run_idfeature,185760-dc001,cloudid_20160801_101500.nc,1,,,,1875.038285482546,0.001098784,2767.8034170145747,0.001098784,3770.246552466941,0.001098784,7783.125892912818,0.001098784
1,1,6632.008785332315,33.11652946472168,48,48,0.183857799,[4],,,180.12034107251378,1,5236,run_idfeature,185760-dc001,pr_rlut_mean_sam_2016080110.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5454.739569441798,27.30553436279297,48,48,0.103087918,[4],,,264.87618425655825,1,5249,run_idfeature,166674-dc004,cloudid_20160802_201500.nc,1,,,,1875.0256697338173,0.001300877,2767.7878185747577,0.001300877,3770.442821903594,0.001300877,7783.461443585925,0.001300877
1,1,6632.008785332315,33.11652946472168,48,48,0.260055409,[4],,,127.3441286688318,1,5236,run_idfeature,166674-dc004,pr_rlut_mean_sam_2016080220.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
1,1,6632.008785332315,33.11652946472168,48,48,0.216181849,[4],,,153.18829780534293,1,5236,run_idfeature,187184-dc003,pr_rlut_mean_sam_2016080117.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5519.549628500667,27.629962921142578,48,48,0.118506907,[4],,,233.15065442677175,1,5249,run_idfeature,187184-dc003,cloudid_20160801_171500.nc,1,,,,1875.0217962262293,0.001362927,2767.7830292692406,0.001362927,3770.503083975111,0.001362927,7783.564470216075,0.001362927
0,1,3578.141931796533,17.911593437194824,48,48,0.088981567,[4],,,201.29554964113888,1,5249,run_idfeature,101199-dc002,cloudid_20160801_021500.nc,1,,,,1628.717125652869,0.8314264100900172,2419.649112584061,0.8314264100900172,2870.517032173754,0.8314264100900172,6226.979309221173,0.8314264100900172
1,1,6632.008785332315,33.11652946472168,48,48,0.201564099,[4],,,164.2977575323157,1,5236,run_idfeature,101199-dc002,pr_rlut_mean_sam_2016080102.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5469.919032196609,27.38152027130127,48,48,0.107936554,[4],,,253.68162366292765,1,5249,run_idfeature,166665-dc004,cloudid_20160802_141500.nc,1,,,,1875.0247625017453,0.00131541,2767.7866968494304,0.00131541,3770.4569361612175,0.00131541,7783.485573928002,0.00131541
1,1,6627.774212034384,33.08906364440918,48,48,0.243953513,[4],,,135.63675815731818,1,5235,run_idfeature,166665-dc004,pr_rlut_mean_sam_2016080214.nc,1,initial_data,,,24368.421335000727,0.002423957,55573.98349737225,0.002423957,3771.529676352521,0.002423957,7785.315470680218,0.002423957
1,1,6632.008785332315,33.11652946472168,48,48,0.236380774,[4],,,140.0982360127211,1,5236,run_idfeature,187185-dc003,pr_rlut_mean_sam_2016080112.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
0,1,5267.315298152029,26.367319107055664,48,48,0.112546865,[4],,,234.2785745925101,1,5249,run_idfeature,187185-dc003,cloudid_20160801_121500.nc,1,,,,1875.0368715340858,0.001121434,2767.8016687719273,0.001121434,3770.2685499617933,0.001121434,7783.163500776429,0.001121434
0,1,5146.973899790436,25.764909744262695,48,48,0.103664761,[4],,,248.54067569077498,1,5249,run_idfeature,187182-dc003,cloudid_20160802_001500.nc,1,,,,1875.044063987332,0.001006217,2767.8105617081696,0.001006217,3770.1566534127114,0.001006217,7782.972197621934,0.001006217
1,1,6632.008785332315,33.11652946472168,48,48,0.219362157,[4],,,150.96737704271243,1,5236,run_idfeature,187182-dc003,pr_rlut_mean_sam_2016080200.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
1,1,6632.008785332315,33.11652946472168,48,48,0.22145756,[4],,,149.5389431036885,1,5236,run_idfeature,187193-dc003,pr_rlut_mean_sam_2016080203.nc,1,initial_data,,,24368.439407857877,0.002428011,55574.00926839461,0.002428011,3771.533887443712,0.002428011,7785.322960994875,0.002428011
