operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_16p,estimated_ts_slope_ssd_16p,estimated_trMiB_beegfs_16p,estimated_ts_slope_beegfs_16p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p
1,0,0.23642849180693346,0.008090973,16,16,0.039172491,[1],1,16,0.20654731659497033,1,35884,mDiffFit,149471-dc284,pposs2ukstu_blue_003_003.fits,2,mProject,,,21493.99645976544,36.88487819126158,4817.427113499671,5.667179516,,,,
1,0,0.8593132786387117,0.008090973,16,16,0.012267582,[1],1,16,0.6595409674368286,1,9873,mDiffFit,149661-dc284,1-diff.000009.000014_area.fits,2,mProject,,,21499.74021713781,36.88487819126158,4818.309613475787,5.667179516,,,,
0,0,0.8112449799196787,0.008090973,16,16,0.020002439,[1],1,16,0.40449931632790503,1,10458,mDiffFit,149471-dc284,1-diff.000007.000011_area.fits,2,mProject,,,1443.0586915244662,1.8310745949074072,4818.241510556326,5.667179516,,,,
1,0,0.23642849180693346,0.008090973,16,16,0.039172491,[1],1,16,0.20654731659497033,1,35884,mDiffFit,149471-dc284,region-oversized.hdr,2,mProject,,,21493.99645976544,36.88487819126158,4817.427113499671,5.667179516,,,,
1,0,0.23642849180693346,0.008090973,16,16,0.039172491,[1],1,16,0.20654731659497033,1,35884,mDiffFit,149471-dc284,pposs2ukstu_blue_003_003_area.fits,2,mProject,,,21493.99645976544,36.88487819126158,4817.427113499671,5.667179516,,,,
0,0,0.8112449799196787,0.008090973,16,16,0.020002439,[1],1,16,0.40449931632790503,1,10458,mDiffFit,149471-dc284,1-diff.000007.000011.fits,2,mProject,,,1443.0586915244662,1.8310745949074072,4818.241510556326,5.667179516,,,,
1,0,2.167603474706183,0.008090973,16,16,0.014983518,[1],1,16,0.5399915360591969,1,3914,mDiffFit,149694-dc284,1-diff.000010.000011.fits,2,mProject,,,21511.804248268003,36.88487819126158,4820.163192325667,5.667179516,,,,
1,0,0.23642849180693346,0.008090973,16,16,0.039172491,[1],1,16,0.20654731659497033,1,35884,mDiffFit,149471-dc284,pposs2ukstu_blue_002_003_area.fits,2,mProject,,,21493.99645976544,36.88487819126158,4817.427113499671,5.667179516,,,,
1,0,477.4,0.004552841,16,16,4.5199e-05,[1],1,16,100.72880343643527,1,10,mDiffFit,149526-dc284,region-oversized.hdr,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.5199e-05,[1],1,16,100.72880343643527,1,10,mDiffFit,149526-dc284,pposs2ukstu_blue_004_004.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.5199e-05,[1],1,16,100.72880343643527,1,10,mDiffFit,149526-dc284,pposs2ukstu_blue_002_003.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.5199e-05,[1],1,16,100.72880343643527,1,10,mDiffFit,149526-dc284,pposs2ukstu_blue_002_003_area.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,477.4,0.004552841,16,16,4.5199e-05,[1],1,16,100.72880343643527,1,10,mDiffFit,149526-dc284,pposs2ukstu_blue_004_004_area.fits,2,mProject,,,25894.02419124314,0.430625,5493.469316535145,0.430625,,,,
1,0,0.9701280227596017,0.004552841,16,16,0.00708718,[1],1,16,0.6424051860575627,1,4921,mDiffFit,149265-dc284,pposs2ukstu_blue_003_002_area.fits,2,mProject,,,21500.759742603426,36.88487819126158,4818.465913771318,5.667179516,,,,
1,0,0.9701280227596017,0.004552841,16,16,0.00708718,[1],1,16,0.6424051860575627,1,4921,mDiffFit,149265-dc284,pposs2ukstu_blue_002_001_area.fits,2,mProject,,,21500.759742603426,36.88487819126158,4818.465913771318,5.667179516,,,,
1,0,0.9701280227596017,0.004552841,16,16,0.00708718,[1],1,16,0.6424051860575627,1,4921,mDiffFit,149265-dc284,pposs2ukstu_blue_002_001.fits,2,mProject,,,21500.759742603426,36.88487819126158,4818.465913771318,5.667179516,,,,
1,0,0.9701280227596017,0.004552841,16,16,0.00708718,[1],1,16,0.6424051860575627,1,4921,mDiffFit,149265-dc284,region-oversized.hdr,2,mProject,,,21500.759742603426,36.88487819126158,4818.465913771318,5.667179516,,,,
1,0,0.9701280227596017,0.004552841,16,16,0.00708718,[1],1,16,0.6424051860575627,1,4921,mDiffFit,149265-dc284,pposs2ukstu_blue_003_002.fits,2,mProject,,,21500.759742603426,36.88487819126158,4818.465913771318,5.667179516,,,,
1,0,0.25948921853494417,0.008090973,16,16,0.038149537,[1],1,16,0.2120857430167665,1,32695,mDiffFit,149650-dc284,pposs2ukstu_blue_004_001_area.fits,2,mProject,,,21494.20910778953,36.88487819126158,4817.459785819202,5.667179516,,,,
1,0,0.25948921853494417,0.008090973,16,16,0.038149537,[1],1,16,0.2120857430167665,1,32695,mDiffFit,149650-dc284,pposs2ukstu_blue_004_001.fits,2,mProject,,,21494.20910778953,36.88487819126158,4817.459785819202,5.667179516,,,,
1,0,0.25948921853494417,0.008090973,16,16,0.038149537,[1],1,16,0.2120857430167665,1,32695,mDiffFit,149650-dc284,pposs2ukstu_blue_003_001_area.fits,2,mProject,,,21494.20910778953,36.88487819126158,4817.459785819202,5.667179516,,,,
0,0,0.9532584269662921,0.008090973,16,16,0.017273873,[1],1,16,0.4683936775725181,1,8900,mDiffFit,149650-dc284,1-diff.000009.000013.fits,2,mProject,,,1443.123700828222,1.8310745949074072,4818.442714480833,5.667179516,,,,
1,0,0.25948921853494417,0.008090973,16,16,0.038149537,[1],1,16,0.2120857430167665,1,32695,mDiffFit,149650-dc284,pposs2ukstu_blue_003_001.fits,2,mProject,,,21494.20910778953,36.88487819126158,4817.459785819202,5.667179516,,,,
1,0,0.8585306618093503,0.008090973,16,16,0.011478042,[1],1,16,0.704908808,1,9882,mDiffFit,149716-dc284,1-diff.000010.000013.fits,2,mProject,,,21499.733000456203,36.88487819126158,4818.308504668272,5.667179516,,,,
0,0,0.9532584269662921,0.008090973,16,16,0.017273873,[1],1,16,0.4683936775725181,1,8900,mDiffFit,149650-dc284,1-diff.000009.000013_area.fits,2,mProject,,,1443.123700828222,1.8310745949074072,4818.442714480833,5.667179516,,,,
1,0,0.25948921853494417,0.008090973,16,16,0.038149537,[1],1,16,0.2120857430167665,1,32695,mDiffFit,149650-dc284,region-oversized.hdr,2,mProject,,,21494.20910778953,36.88487819126158,4817.459785819202,5.667179516,,,,
1,0,0.8585306618093503,0.008090973,16,16,0.011478042,[1],1,16,0.704908808,1,9882,mDiffFit,149716-dc284,1-diff.000010.000013_area.fits,2,mProject,,,21499.733000456203,36.88487819126158,4818.308504668272,5.667179516,,,,
