operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,estimated_trMiB_ssd_p,estimated_trMiB_beegfs_p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p
0,1,1065.8265476854433,7.289989471435547,12,12,0.026518146,[1],,,274.9056993439718,1,7172,openmm,170277-dlt04,stage0000_task0003.h5,0,,,,1515.417479941546,0.013615412658021908,2759.122100205841,0.013615412658021908
0,1,1067.117556826105,7.297801971435547,12,12,0.025150193,[1],,,290.16882579929097,1,7171,openmm,190125-dlt02,stage0000_task0002.h5,0,,,,1515.4755967451438,0.014035663029331088,2759.1793444219597,0.014035663029331088
0,1,1067.117556826105,7.297801971435547,12,12,0.025150193,[1],,,290.16882579929097,1,7171,openmm,190125-dlt02,stage0000_task0002.dcd,0,,,,1515.4755967451438,0.014035663029331088,2759.1793444219597,0.014035663029331088
0,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,[1],,,287.84611865236946,1,7172,openmm,190099-dlt02,stage0000_task0001.h5,0,,,,1515.4431693209958,0.013801320819390192,2759.1474238805495,0.013801320819390192
0,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,[1],,,287.84611865236946,1,7172,openmm,190099-dlt02,stage0000_task0001.dcd,0,,,,1515.4431693209958,0.013801320819390192,2759.1474238805495,0.013801320819390192
0,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,[1],,,301.5351518088079,1,7152,openmm,143675-dlt05,stage0000_task0008.dcd,0,,,,1515.037220118304,0.010857066496551049,2758.7463567544523,0.010857066496551049
0,1,1057.3529082774048,7.211864471435547,12,12,0.02391716,[1],,,301.5351518088079,1,7152,openmm,143675-dlt05,stage0000_task0008.h5,0,,,,1515.037220118304,0.010857066496551049,2758.7463567544523,0.010857066496551049
1,1,354.2469672,17.09924316,1,1,0.211423541,[1],1,,80.87672301384121,1,50614,aggregate,190758-dlt02,stage0000_task0007.h5,1,openmm,,,4902.581670685693,0.30234059087735937,1439.9904811612641,0.30234059087735937
1,1,354.2469672,17.09924316,1,1,0.211423541,[1],1,,80.87672301384121,1,50614,aggregate,190758-dlt02,stage0000_task0002.h5,1,openmm,,,4902.581670685693,0.30234059087735937,1439.9904811612641,0.30234059087735937
1,1,354.2469672,17.09924316,1,1,0.211423541,[1],1,,80.87672301384121,1,50614,aggregate,190758-dlt02,stage0000_task0010.h5,1,openmm,,,4902.581670685693,0.30234059087735937,1439.9904811612641,0.30234059087735937
1,1,354.2469672,17.09924316,1,1,0.211423541,[1],1,,80.87672301384121,1,50614,aggregate,190758-dlt02,stage0000_task0000.h5,1,openmm,,,4902.581670685693,0.30234059087735937,1439.9904811612641,0.30234059087735937
1,1,354.2469672,17.09924316,1,1,0.211423541,[1],1,,80.87672301384121,1,50614,aggregate,190758-dlt02,stage0000_task0005.h5,1,openmm,,,4902.581670685693,0.30234059087735937,1439.9904811612641,0.30234059087735937
1,1,354.2469672,17.09924316,1,1,0.211423541,[1],1,,80.87672301384121,1,50614,aggregate,190758-dlt02,aggregated.h5,1,final_data,,,4902.581670685693,0.30234059087735937,1439.9904811612641,0.30234059087735937
0,1,327.87629555332666,15.899206161499023,1,1,0.101762188,[1],1,,156.2388395333935,1,50847,aggregate,190758-dlt02,aggregated.h5,1,,,,588.2537140032978,0.27487114120138195,1421.3686373311812,0.27487114120138195
